,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka
376,Yeni tikili,9 / 19,85 m²,3,var,var,134500,AZN,"Sabunçu r.,Bakıxanov q.",40.43728644711101,Bakı,49.95877759019773,3270905,12 Mart 2023 ,var
377,Yeni tikili,10 / 12,110 m²,3,var,var,200000,AZN,"Memar Əcəmi m.,Nəsimi r.,2-ci mikrorayon q.",40.38816806232006,Bakı,49.83243942260742,3270980,12 Mart 2023 ,var
378,Yeni tikili,8 / 17,220 m²,4,var,,420000,AZN,"M.Hüseynzadə parkı ,Sevil Qazıyeva parkı ,Rusiya səfirliyi ,İzmir parkı ,Nizami m.,Yasamal r.",40.41932422288878,Bakı,49.92522239685059,3271211,06 Mart 2023 ,
379,Köhnə tikili,3 / 5,70 m²,1,var,,58000,AZN,"Keşlə bazarı ,Nizami r.",40.38816806232006,Bakı,49.83243942260742,3271212,28 Fevral 2023 ,
380,Yeni tikili,20 / 20,153 m²,4,var,,170000,AZN,"Xətai r.,Əhmədli q.",40.3679082827185,Bakı,49.96067591546736,3271413,12 Mart 2023 ,
381,Yeni tikili,6 / 19,100 m²,2,var,,150000,AZN,Səbail r.,40.38855213843042,Bakı,49.87120270729065,3271414,13 Mart 2023 ,
382,Yeni tikili,15 / 15,65 m²,2,yoxdur,,96000,AZN,"Neftçilər m.,Qara Qarayev m.,Nizami r.",40.39980377915154,Bakı,49.86642837524414,3271531,12 Mart 2023 ,
383,Yeni tikili,11 / 18,64 m²,2,yoxdur,,138000,AZN,"Azərbaycan turizm institutu ,Gənclik m.,Nəriman Nərimanov m.,Nərimanov r.",40.38781667161964,Bakı,49.85220193862915,3271533,17 Mart 2023 ,
384,Yeni tikili,7 / 20,193 m²,4,yoxdur,,520000,AZN,"Gənclik m.,Respublika stadionu ,Nəsimi r.",40.41932422288878,Bakı,49.92522239685059,3271603,03 Mart 2023 ,
385,Köhnə tikili,2 / 5,100 m²,3,var,,159990,AZN,"Ayna Sultanova heykəli ,Binəqədi r.,8-ci mikrorayon q.",40.38257828125999,Bakı,49.80385780334476,3271605,12 Mart 2023 ,
386,Köhnə tikili,7 / 9,60 m²,2,var,var,120000,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.42793349999999,Bakı,49.81359980000002,3272063,12 Mart 2023 ,var
387,Yeni tikili,10 / 16,155 m²,4,yoxdur,,270000,AZN,"Tibb Universiteti ,Nəsimi r.",40.38816806232006,Bakı,49.83243942260742,3274294,13 Mart 2023 ,
388,Yeni tikili,15 / 15,63 m²,2,yoxdur,,97800,AZN,Nizami r.,40.36942330420567,Bakı,49.82101321220402,3274298,Dünən 18:18 ,
