,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka,Təmir
126,Yeni tikili,14 / 14,127 m²,4,,125000,AZN,"Memar Əcəmi m.,Binəqədi r.,Xutor q.",40.41219565053473,Bakı,49.82250599104875,2807068,27 Noyabr 2022 ,,
127,Yeni tikili,4 / 16,120 m²,3,,225000,AZN,"Nəsimi bazarı ,Park Zorge ,Koala parkı ,Nəsimi r.",40.40761426997893,Bakı,49.80840682983398,2808098,25 Oktyabr 2022 ,,
128,Yeni tikili,13 / 17,89 m²,2,,164000,AZN,"Neftçilər m.,Nizami r.,8-ci kilometr q.",40.37613086332457,Bakı,49.91559462210881,2808190,27 Oktyabr 2022 ,,
129,Yeni tikili,10 / 11,83 m²,3,var,64000,AZN,Xırdalan,40.46157726096487,Xırdalan,49.74699715927726,2808369,18 Oktyabr 2022 ,,
130,Yeni tikili,3 / 20,96 m²,2,,140000,AZN,"Xətai r.,Əhmədli q.",40.3744844328779,Bakı,49.96192990739457,2809046,11 Yanvar 2023 ,,
131,Yeni tikili,8 / 19,170 m²,4,,250000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,Tibb Universiteti ,Nərimanov r.",40.39873896802882,Bakı,49.83557259734056,2812016,27 Noyabr 2022 ,,
132,Yeni tikili,13 / 16,90 m²,3,,155000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39414959485713,Bakı,49.7993946075439,2812971,12 Fevral 2023 ,,
133,Yeni tikili,10 / 16,161 m²,3,,257000,AZN,"Dostluq kinoteatrı ,Koala parkı ,Azərbaycan Dillər Universiteti ,Bakı Slavyan Universiteti ,Nəsimi r.",40.37520939853896,Bakı,49.84099855135474,2813995,14 Noyabr 2022 ,,
134,Yeni tikili,6 / 16,103 m²,3,var,210000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,Nəsimi r.",40.39414959485713,Bakı,49.7993946075439,2818188,16 Noyabr 2022 ,,
135,Yeni tikili,3 / 16,60.5 m²,2,yoxdur,133100,AZN,"Koala parkı ,Dostluq kinoteatrı ,Nəsimi bazarı ,Park Zorge ,Zoopark ,Nəsimi r.",40.39206771382559,Bakı,49.8417355095795,2822355,10 Mart 2023 ,,
136,Köhnə tikili,2 / 2,60 m²,3,var,63000,AZN,Binəqədi r.,40.37005679625383,Bakı,49.82993423938751,2823065,03 Oktyabr 2022 ,,
137,Yeni tikili,8 / 9,80 m²,2,,105000,AZN,"Xətai r.,Əhmədli q.",40.3744844328779,Bakı,49.96192990739457,2825074,26 Noyabr 2022 ,,
138,Yeni tikili,11 / 16,99.5 m²,2,var,208950,AZN,"Rəssamlıq Akademiyası ,Montin bazarı ,Nərimanov r.",40.39373943388665,Bakı,49.87625764085797,2829110,Bugün 11:48 ,,
139,Yeni tikili,12 / 16,105 m²,3,var,155000,AZN,"Neftçilər m.,Nizami r.,8-ci kilometr q.",40.37024250177031,Bakı,49.97394200996779,2832006,29 Oktyabr 2022 ,,
140,Yeni tikili,5 / 16,140 m²,3,var,230000,AZN,"20 Yanvar m.,Nəsimi r.",40.40589048435567,Bakı,49.81123924255371,2833038,07 Dekabr 2022 ,var,var
141,Yeni tikili,14 / 16,82.3 m²,2,var,156370,AZN,"Rəssamlıq Akademiyası ,Montin bazarı ,Nərimanov r.",40.39373943388665,Bakı,49.87625764085797,2833105,25 Yanvar 2023 ,,
142,Yeni tikili,5 / 17,210 m²,3,,420000,AZN,"Cavanşir körpüsü ,Şah İsmayıl Xətai m.,Xətai r.",40.37998753828459,Bakı,49.85486268997196,2833246,15 Mart 2023 ,,
143,Yeni tikili,12 / 22,190 m²,4,,215000,AZN,"Zərifə Əliyeva adına park ,Nəsimi r.",40.42308390698645,Bakı,49.81722908589175,2834073,07 Oktyabr 2022 ,,
144,Yeni tikili,4 / 9,110.9 m²,2,,164000,AZN,"Tibb Universiteti ,ASAN Xidmət №1 ,Nəsimi r.",40.40952590477563,Bakı,49.84445571899418,2838029,31 Oktyabr 2022 ,,
145,Köhnə tikili,9 / 10,90 m²,3,var,140000,AZN,"Nəsimi m.,Binəqədi r.,9-cu mikrorayon q.",40.38274990424748,Bakı,49.8084390163422,2847245,23 Yanvar 2023 ,,
146,Yeni tikili,1 / 5,90 m²,4,,94000,AZN,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.39980377915154,Bakı,49.86642837524414,2848234,12 Oktyabr 2022 ,,
147,Yeni tikili,2 / 12,125 m²,3,yoxdur,190000,AZN,"20 Yanvar m.,Memar Əcəmi m.,Nəsimi r.",40.39816149998397,Bakı,49.84086155891422,2848244,28 Noyabr 2022 ,,
148,Yeni tikili,19 / 21,110 m²,3,var,155000,AZN,"Xətai r.,Əhmədli q.",40.3744844328779,Bakı,49.96192990739457,2849022,27 Fevral 2023 ,,
149,Yeni tikili,7 / 10,174 m²,4,var,400000,AZN,"Dövlət Statistika Komitəsi ,İzmir parkı ,M.Hüseynzadə parkı ,Yasamal r.",40.38321573586659,Bakı,49.82637763023376,2849085,19 Mart 2023 ,var,var
150,Köhnə tikili,4 / 9,120 m²,4,,193000,AZN,"Gənclik m.,Nərimanov r.",40.39414959485713,Bakı,49.7993946075439,2851042,12 Yanvar 2023 ,,
151,Yeni tikili,5 / 20,105 m²,2,,105000,AZN,Yasamal r.,40.39414959485713,Bakı,49.7993946075439,2852126,28 Dekabr 2022 ,,
152,Yeni tikili,6 / 7,98 m²,2,,254800,AZN,Nərimanov r.,40.40818135561674,Bakı,49.83717750985101,2854043,07 Mart 2023 ,,
153,Köhnə tikili,4 / 5,95 m²,3,,149900,AZN,"Rəssamlıq Akademiyası ,Nəriman Nərimanov parkı ,Montin bazarı ,Nəriman Nərimanov m.,Nərimanov r.",40.36942330420567,Bakı,49.82101321220402,2854044,19 Fevral 2023 ,,
154,Yeni tikili,4 / 16,213 m²,4,var,550000,AZN,"Elmlər Akademiyası m.,İncəsənət və Mədəniyyət Un. ,Yasamal r.",40.37830256384312,Bakı,49.81527412654539,2857329,17 Oktyabr 2022 ,,
155,Yeni tikili,4 / 4,119.6 m²,2,,305000,AZN,"Sea Breeze ,Sabunçu r.,Nardaran q.",40.3765957210189,Bakı,49.85243260860443,2858103,28 Oktyabr 2022 ,,
156,Yeni tikili,3 / 7,192 m²,4,,518400,AZN,"Ağ şəhər ,Xətai r.",40.3765957210189,Bakı,49.85243260860443,2861999,02 Oktyabr 2022 ,,
157,Köhnə tikili,3 / 5,65 m²,2,,135000,AZN,"Tibb Universiteti ,Nəsimi r.",40.39232579999999,Bakı,49.82880550000004,2863008,01 Yanvar 2023 ,,
158,Yeni tikili,14 / 18,320 m²,5,var,750000,AZN,"Nərimanov heykəli ,Sovetski ,Space TV ,Səbail r.",40.3651072257085,Bakı,49.81950849294662,2863084,25 Fevral 2023 ,var,var
159,Yeni tikili,14 / 17,83 m²,2,,90000,AZN,"Xətai r.,Köhnə Günəşli q.",40.36289207338911,Bakı,49.96550826266227,2863232,26 Sentyabr 2022 ,,
160,Yeni tikili,2 / 17,104 m²,4,,193000,AZN,"Nizami r.,8-ci kilometr q.",40.41032429716736,Bakı,49.9318618369873,2863972,05 Noyabr 2022 ,,
161,Yeni tikili,2 / 4,180 m²,4,,242000,AZN,"Səbail r.,Badamdar q.",40.39816149998397,Bakı,49.84086155891422,2867219,14 Oktyabr 2022 ,,
