,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date
279,Yeni tikili,10 / 19,130 m²,3,var,var,var,320000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.3843596,Bakı,49.87381000000005,3104465,09 Mart 2023 
280,Köhnə tikili,5 / 9,100 m²,3,var,var,var,195000,AZN,"Nizami m.,Yasamal r.",40.38047947297675,Bakı,49.82821980217827,3104490,17 Dekabr 2022 
281,Yeni tikili,15 / 16,140 m²,4,var,,,223000,AZN,"Təhsil Nazirliyi ,Nərimanov r.",40.39205366748811,Bakı,49.84065234661102,3104491,23 Noyabr 2022 
282,Köhnə tikili,3 / 6,50 m²,2,var,,,155000,AZN,"Gənclik m.,Respublika stadionu ,Nərimanov r.",40.38873191798482,Bakı,49.95395421981815,3104527,17 Dekabr 2022 
283,Köhnə tikili,5 / 5,65 m²,3,var,,,118000,AZN,"ASAN Xidmət №3 ,Yasamal r.,Yasamal q.",40.37644149282421,Bakı,49.80559623932769,3104540,09 Dekabr 2022 
284,Köhnə tikili,4 / 9,40 m²,2,var,var,var,64000,AZN,Xətai r.,40.36397441092321,Bakı,49.95058835432347,3104541,23 Yanvar 2023 
285,Yeni tikili,8 / 17,145 m²,3,var,,,262000,AZN,"Qara Qarayev m.,Nizami r.",40.37104456957248,Bakı,49.95549254560103,3104545,27 Dekabr 2022 
286,Yeni tikili,13 / 22,62 m²,2,yoxdur,,,93000,AZN,"Zərifə Əliyeva adına park ,Binəqədi r.,9-cu mikrorayon q.",40.38816806232006,Bakı,49.83243942260742,3104547,23 Yanvar 2023 
287,Köhnə tikili,2 / 9,80 m²,3,var,,,122000,AZN,Nizami r.,40.39989258617802,Bakı,49.83979431395813,3104578,23 Yanvar 2023 
288,Köhnə tikili,3 / 3,57 m²,3,var,,,56000,AZN,"Suraxanı r.,Yeni Suraxanı q.",40.431,Bakı,50.035,3104579,17 Dekabr 2022 
289,Köhnə tikili,8 / 9,100 m²,4,var,var,var,200000,AZN,"Gənclik m.,Respublika stadionu ,Nərimanov r.",40.39270174045908,Bakı,49.83329557619629,3104620,17 Dekabr 2022 
290,Yeni tikili,14 / 17,100 m²,3,var,,,149000,AZN,"Xətai r.,Həzi Aslanov q.",40.39298300258589,Bakı,49.95403544813546,3104631,17 Dekabr 2022 
291,Köhnə tikili,8 / 9,85 m²,4,,,,155000,AZN,"Neapol dairəsi ,Əhmədli m.,Xətai r.,Əhmədli q.",40.38125291181027,Bakı,49.95896548413091,3104640,05 Fevral 2023 
292,Yeni tikili,3 / 13,105 m²,2,var,var,var,163000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.4250308860094,Bakı,49.83698592852785,3104669,29 Noyabr 2022 
293,Yeni tikili,3 / 8,150 m²,3,yoxdur,,,270000,AZN,"TQDK ,Neftçi bazası ,Nəsimi r.",40.38264366149726,Bakı,49.87209320068359,3104698,17 Dekabr 2022 
294,Yeni tikili,8 / 10,93 m²,3,var,,,199000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38449580544514,Bakı,49.87507838560397,3104702,17 Dekabr 2022 
295,Köhnə tikili,2 / 5,63 m²,3,var,,,137000,AZN,"Nəriman Nərimanov parkı ,Rəssamlıq Akademiyası ,Nəriman Nərimanov m.,Nərimanov r.",40.37371049868611,Bakı,49.83537912368774,3104713,17 Dekabr 2022 
