,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longitude,id,date,Təmir,İpoteka
5968,Yeni tikili,8 / 10,76 m²,3,var,150000,AZN,"Sabunçu r.,Bakıxanov q.",40.38816806232006,Bakı,49.83243942260742,3027355,05 Dekabr 2022 ,,
5969,Yeni tikili,16 / 17,243 m²,4,,750000,AZN,"Hüseyn Cavid parkı ,Elmlər Akademiyası m.,Texniki Universiteti ,Yasamal r.",40.37979234319358,Bakı,49.85448785126209,3027358,03 Noyabr 2022 ,,
5970,Yeni tikili,7 / 21,220 m²,4,var,785000,AZN,"Sahil m.,Malokan bağı ,Sahil bağı ,Xalça Muzeyi ,Nizami kinoteatrı ,Pedaqoji Universiteti ,Səbail r.",40.38499730777751,Bakı,49.83810424804688,3027365,08 Oktyabr 2022 ,,
5971,Köhnə tikili,3 / 5,55 m²,2,var,85000,AZN,"20 Yanvar m.,Memar Əcəmi m.,Nəsimi r.,1-ci mikrorayon q.",40.40996243515259,Bakı,49.80721558279333,3027367,03 Noyabr 2022 ,,
5972,Yeni tikili,5 / 14,153 m²,3,yoxdur,849000,AZN,"Azərbaycan Dillər Universiteti ,Sirk ,Qış parkı ,Bakı Slavyan Universiteti ,Bakı Musiqi Akademiyası ,Milli Konservatoriya ,28 May m.,Nəsimi r.",40.38073198363332,Bakı,49.84164678266448,3027368,06 Noyabr 2022 ,,
5973,Köhnə tikili,9 / 9,90 m²,3,var,125000,AZN,"Azadlıq Prospekti m.,Binəqədi r.",40.38816806232006,Bakı,49.83243942260742,3027369,03 Noyabr 2022 ,var,var
5974,Yeni tikili,7 / 16,180 m²,4,var,380000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,TQDK ,Nəsimi r.",40.3996913573312,Bakı,49.83842313525603,3027376,03 Noyabr 2022 ,,
5975,Yeni tikili,16 / 17,92 m²,3,var,149000,AZN,"Xalqlar Dostluğu m.,Nizami r.",40.39763114637592,Bakı,49.9524447100829,3027378,03 Noyabr 2022 ,,
5976,Köhnə tikili,2 / 5,75 m²,3,var,35000,AZN,Salyan,39.5853623,Salyan,48.97272520000001,3027379,03 Noyabr 2022 ,,
5977,Yeni tikili,7 / 12,98 m²,3,var,179000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38310132138137,Bakı,49.87192153930664,3027381,10 Dekabr 2022 ,,
5978,Yeni tikili,13 / 20,80 m²,3,var,165000,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.42793349999999,Bakı,49.81359980000002,3027389,03 Noyabr 2022 ,,
5979,Köhnə tikili,5 / 5,75 m²,3,var,129500,AZN,Nəsimi r.,40.38816806232006,Bakı,49.83243942260742,3027405,03 Noyabr 2022 ,,
5980,Yeni tikili,8 / 10,56 m²,2,var,76000,AZN,Sumqayıt,40.57963789926399,Sumqayıt,49.6907883646392,3027509,03 Noyabr 2022 ,var,var
5981,Köhnə tikili,5 / 5,40 m²,2,var,64000,AZN,"Xətai r.,Əhmədli q.",40.38816806232006,Bakı,49.83243942260742,3027516,27 Oktyabr 2022 ,,
5982,Yeni tikili,13 / 21,170 m²,3,yoxdur,370000,AZN,"Port Baku ,Cavanşir körpüsü ,Nəsimi r.",40.37649764183499,Bakı,49.84163403511051,3027519,03 Noyabr 2022 ,,
5983,Yeni tikili,7 / 16,76.7 m²,2,var,135000,AZN,"Nəsimi bazarı ,Koala parkı ,Park Zorge ,Nəsimi r.",40.39444673244164,Bakı,49.83869748684695,3027523,07 Noyabr 2022 ,,
5984,Yeni tikili,7 / 16,52 m²,1,yoxdur,135000,AZN,Nərimanov r.,40.41932422288878,Bakı,49.92522239685059,3027537,17 Noyabr 2022 ,,
5985,Yeni tikili,9 / 17,61 m²,1,yoxdur,104000,AZN,"Tibb Universiteti ,Nərimanov r.",40.40761426997893,Bakı,49.80840682983398,3027540,04 Dekabr 2022 ,,
5986,Köhnə tikili,8 / 9,70 m²,2,var,95000,AZN,"Yasamal r.,Yeni Yasamal q.",40.38274990424748,Bakı,49.8084390163422,3027554,03 Noyabr 2022 ,,
5987,Yeni tikili,15 / 17,60 m²,2,var,115000,AZN,"Neftçilər m.,Nizami r.",40.37742938831814,Bakı,49.80915784835819,3027556,28 Noyabr 2022 ,,
5988,Yeni tikili,3 / 19,85 m²,2,yoxdur,110000,AZN,Binəqədi r.,40.38816806232006,Bakı,49.83243942260742,3027558,03 Noyabr 2022 ,,
5989,Yeni tikili,8 / 18,105 m²,3,,165000,AZN,"20 Yanvar m.,Nəsimi r.,1-ci mikrorayon q.",40.4061232,Bakı,49.81045159999996,3027564,11 Oktyabr 2022 ,,
5990,Köhnə tikili,4 / 4,75 m²,3,var,230000,AZN,"Tibb Universiteti ,Nəsimi r.",40.39045008382347,Bakı,49.830508675731,3027568,03 Noyabr 2022 ,var,var
5991,Yeni tikili,12 / 22,152 m²,3,yoxdur,228000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,TQDK ,Nəsimi r.",40.39935279513428,Bakı,49.83747439953616,3027571,03 Noyabr 2022 ,,
5992,Yeni tikili,8 / 16,140 m²,3,var,250000,AZN,"Binəqədi r.,8-ci mikrorayon q.",40.37024250177031,Bakı,49.97394200996779,3027572,01 Dekabr 2022 ,var,var
5993,Yeni tikili,11 / 12,60 m²,1,yoxdur,64000,AZN,Xırdalan,40.4615538050684,Xırdalan,49.7480801487839,3027584,03 Noyabr 2022 ,,
5994,Yeni tikili,3 / 6,132.6 m²,3,yoxdur,364650,AZN,"Ağ şəhər ,Xətai r.",40.39414959485713,Bakı,49.7993946075439,3027588,03 Noyabr 2022 ,,
5995,Yeni tikili,14 / 17,133 m²,4,yoxdur,239000,AZN,"Qara Qarayev m.,Nizami r.,8-ci kilometr q.",40.41231973488292,Bakı,49.93389129638672,3027603,03 Noyabr 2022 ,,
5996,Yeni tikili,17 / 18,62 m²,1,yoxdur,130000,AZN,"8 Noyabr m.,Bakı Asiya Universiteti ,Nəsimi r.",40.37620916175648,Bakı,49.81580107043555,3027604,03 Noyabr 2022 ,,
5997,Yeni tikili,3 / 18,163 m²,3,var,330000,AZN,"ASAN Xidmət №1 ,Tibb Universiteti ,Neftçi bazası ,Nəsimi r.",40.39806184404171,Bakı,49.83539300534061,3027610,25 Yanvar 2023 ,var,var
5998,Yeni tikili,2 / 16,128 m²,2,var,240000,AZN,Nərimanov r.,40.40952590477563,Bakı,49.84445571899418,3027611,03 Noyabr 2022 ,,
5999,Yeni tikili,8 / 15,117 m²,3,var,145000,AZN,"Neftçilər m.,Nizami r.",40.40210780478213,Bakı,49.85758781433109,3027614,03 Noyabr 2022 ,var,var
6000,Yeni tikili,17 / 17,138 m²,3,var,150000,AZN,"Şərq bazarı ,Nərimanov r.",40.38816522423333,Bakı,49.85789265356595,3027620,03 Noyabr 2022 ,,
6001,Yeni tikili,8 / 17,120 m²,3,var,195000,AZN,"Səbail r.,Bayıl q.",40.40606433283491,Bakı,49.86231650326251,3027621,31 Oktyabr 2022 ,,
6002,Yeni tikili,7 / 16,96 m²,3,var,190000,AZN,"Nəsimi bazarı ,Koala parkı ,Xətai r.",40.39505168172592,Bakı,49.8435115814209,3027636,03 Noyabr 2022 ,var,var
6003,Köhnə tikili,1 / 9,100 m²,4,var,122000,AZN,"Əhmədli m.,Xətai r.",40.38525881895442,Bakı,49.95380401611328,3027643,06 Noyabr 2022 ,,
6004,Yeni tikili,12 / 18,225 m²,4,var,388000,AZN,"Memar Əcəmi m.,Nəsimi r.",40.39816149998397,Bakı,49.84086155891422,3027648,16 Oktyabr 2022 ,var,var
6005,Yeni tikili,10 / 16,186 m²,4,var,495000,AZN,"28 May m.,Neft Akademiyası ,Bakı Musiqi Akademiyası ,Səməd Vurğun parkı ,Milli Konservatoriya ,Nəsimi r.",40.39061957433251,Bakı,49.84664440155029,3027654,03 Noyabr 2022 ,var,var
6006,Yeni tikili,7 / 17,75 m²,2,yoxdur,123750,AZN,"Nəsimi bazarı ,Park Zorge ,Koala parkı ,Nəsimi r.",40.39989258617802,Bakı,49.83979431395813,3027657,03 Noyabr 2022 ,,
6007,Yeni tikili,6 / 17,114 m²,3,var,175000,AZN,"Həzi Aslanov m.,Xətai r.,Əhmədli q.",40.37301433214466,Bakı,49.95347232006841,3027664,03 Noyabr 2022 ,,
6008,Yeni tikili,9 / 17,95 m²,2,yoxdur,103000,AZN,"20 Yanvar m.,Yasamal r.,Yasamal q.",40.40058029698272,Bakı,49.80763097978222,3027666,03 Noyabr 2022 ,,
6009,Yeni tikili,7 / 15,80 m²,2,var,129500,AZN,"Həzi Aslanov m.,Xətai r.",40.38816806232006,Bakı,49.83243942260742,3027667,03 Noyabr 2022 ,var,var
6010,Yeni tikili,8 / 19,110 m²,3,var,197000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39414959485713,Bakı,49.7993946075439,3027671,28 Dekabr 2022 ,,
6011,Yeni tikili,1 / 9,130 m²,3,var,189500,AZN,Nərimanov r.,40.40011603328774,Bakı,49.83917601637808,3027675,03 Noyabr 2022 ,,
6012,Yeni tikili,1 / 9,65 m²,2,var,93000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.37742938831814,Bakı,49.80915784835819,3027678,03 Noyabr 2022 ,,
6013,Köhnə tikili,6 / 9,80 m²,3,var,104000,AZN,"Neapol dairəsi ,Suraxanı r.,Yeni Günəşli q.",40.40554735588255,Bakı,49.87506508827209,3027696,03 Noyabr 2022 ,var,var
6014,Yeni tikili,12 / 14,160 m²,4,var,220000,AZN,"Nizami r.,8-ci kilometr q.",40.38499730777751,Bakı,49.83810424804688,3027700,02 Noyabr 2022 ,,
6015,Yeni tikili,11 / 11,49 m²,2,var,72000,AZN,"Neftçilər m.,Nizami r.",40.40011603328774,Bakı,49.83917601637808,3027721,03 Noyabr 2022 ,,
6016,Yeni tikili,3 / 14,230 m²,4,var,510000,AZN,"İncəsənət və Mədəniyyət Un. ,Elmlər Akademiyası m.,Yasamal r.",40.38264366149726,Bakı,49.87209320068359,3027722,03 Noyabr 2022 ,,
6017,Yeni tikili,7 / 16,77 m²,2,yoxdur,134000,AZN,"Nəsimi bazarı ,Koala parkı ,Nəsimi r.",40.39989258617802,Bakı,49.83979431395813,3027723,03 Noyabr 2022 ,,
6018,Yeni tikili,9 / 16,65 m²,2,yoxdur,139000,AZN,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.40481309592228,Bakı,49.86986696720127,3027726,28 Oktyabr 2022 ,,
6019,Yeni tikili,5 / 17,126 m²,3,var,175000,AZN,"Həzi Aslanov m.,Xətai r.,Əhmədli q.",40.37301433214466,Bakı,49.95347232006841,3027729,03 Noyabr 2022 ,,
6020,Köhnə tikili,4 / 5,50 m²,2,var,87000,AZN,"Memar Əcəmi m.,Nəsimi r.",40.39989258617802,Bakı,49.83979431395813,3027738,18 Noyabr 2022 ,,
6021,Yeni tikili,10 / 20,130 m²,4,var,220000,AZN,"Xətai r.,Əhmədli q.",40.3679082827185,Bakı,49.96067591546736,3027743,03 Noyabr 2022 ,,
